payment_id,order_id,merchant_id,amount_inr,currency,status,method,captured_at,fee_inr,tax_inr,error_code,error_description,risk_level
pay_success_001,order_ord_101,acc_merch_001,2500.0,INR,captured,card,2026-09-01 10:15:30,50.0,9.0,,,normal
pay_success_002,order_ord_102,acc_merch_001,850.0,INR,captured,upi,2026-09-02 14:20:00,0.0,0.0,,,normal
pay_fail_gateway_001,order_ord_103,acc_merch_002,1200.0,INR,failed,card,,0.0,0.0,BAD_REQUEST_PAYMENT_DECLINED,Issuing bank declined transaction due to insufficient customer funds,normal
pay_fail_gateway_002,order_ord_104,acc_merch_002,450.0,INR,failed,upi,,0.0,0.0,PAYMENT_CANCELLED_BY_USER,User cancelled the payment prompt on their UPI app,normal
pay_delay_holiday_001,order_ord_105,acc_merch_001,3400.0,INR,captured,netbanking,2026-08-28 19:40:00,68.0,12.24,,,normal
pay_fail_bank_ifsc_001,order_ord_106,acc_merch_003,5000.0,INR,captured,card,2026-09-01 11:00:00,100.0,18.0,,,normal
pay_fail_bank_frozen_001,order_ord_107,acc_merch_004,2000.0,INR,captured,upi,2026-09-01 12:30:00,40.0,7.2,,,normal
pay_risk_hold_compliance_001,order_ord_108,acc_merch_005,75000.0,INR,captured,card,2026-09-02 16:00:00,1500.0,270.0,,,high
pay_risk_hold_kyc_001,order_ord_109,acc_merch_006,1850.0,INR,captured,upi,2026-09-02 17:15:00,37.0,6.66,,,normal
pay_recon_discrepancy_001,order_ord_110,acc_merch_001,10000.0,INR,captured,card,2026-09-01 09:00:00,200.0,36.0,,,normal
pay_missing_ledger_001,order_ord_111,acc_merch_007,3100.0,INR,captured,netbanking,2026-08-30 11:20:00,62.0,11.16,,,normal
pay_missing_bank_001,order_ord_112,acc_merch_001,4200.0,INR,captured,upi,2026-08-27 10:00:00,0.0,0.0,,,normal
pay_conflict_status_001,order_ord_113,acc_merch_008,6400.0,INR,refunded,card,2026-08-29 13:00:00,128.0,23.04,,,normal
pay_unsettled_in_sla_001,order_ord_114,acc_merch_001,1500.0,INR,captured,upi,2026-09-04 14:00:00,0.0,0.0,,,normal
