entry_id,payment_id,settlement_id,merchant_id,account_type,amount_inr,entry_type,post_date,status,hold_reason
led_1001_cr,pay_success_001,setl_1001,acc_merch_001,merchant_payable,2441.0,credit,2026-09-01,posted,
led_1001_fee,pay_success_001,setl_1001,acc_merch_001,fee_expense,59.0,debit,2026-09-01,posted,
led_1002_cr,pay_success_002,setl_1002,acc_merch_001,merchant_payable,850.0,credit,2026-09-02,posted,
led_1005_cr,pay_delay_holiday_001,setl_1005,acc_merch_001,merchant_payable,3319.76,credit,2026-08-28,pending_clearance,
led_1006_cr,pay_fail_bank_ifsc_001,setl_1006,acc_merch_003,merchant_payable,4882.0,credit,2026-09-01,pending_clearance,
led_1007_cr,pay_fail_bank_frozen_001,setl_1007,acc_merch_004,merchant_payable,1952.8,credit,2026-09-01,pending_clearance,
led_1008_hold,pay_risk_hold_compliance_001,setl_1008,acc_merch_005,reserve_hold,73230.0,credit,2026-09-02,reserve_hold,RISK_REVIEW_HOLD
led_1009_hold,pay_risk_hold_kyc_001,setl_1009,acc_merch_006,reserve_hold,1806.34,credit,2026-09-02,reserve_hold,KYC_PENDING
led_1010_cr,pay_recon_discrepancy_001,setl_1010,acc_merch_001,merchant_payable,9764.0,credit,2026-09-01,posted,
led_1012_cr,pay_missing_bank_001,,acc_merch_001,merchant_payable,4200.0,credit,2026-08-27,posted,
led_1013_disp,pay_conflict_status_001,setl_1013,acc_merch_008,merchant_payable,6248.96,debit,2026-08-30,disputed,CUSTOMER_CHARGEBACK_DISPUTE
led_1014_cr,pay_unsettled_in_sla_001,setl_1014,acc_merch_001,merchant_payable,1500.0,credit,2026-09-04,pending_clearance,
led_demo_0001,pay_demo_0001,setl_demo_0001,acc_demo_002,merchant_payable,231.41,credit,2026-08-01,posted,
led_demo_0002,pay_demo_0002,setl_demo_0002,acc_demo_003,merchant_payable,365.17,credit,2026-08-01,posted,
led_demo_0003,pay_demo_0003,setl_demo_0003,acc_demo_004,merchant_payable,498.94,credit,2026-08-01,posted,
led_demo_0004,pay_demo_0004,setl_demo_0004,acc_demo_005,merchant_payable,632.71,credit,2026-08-01,posted,
led_demo_0005,pay_demo_0005,setl_demo_0005,acc_demo_006,merchant_payable,766.47,credit,2026-08-02,posted,
led_demo_0006,pay_demo_0006,setl_demo_0006,acc_demo_007,merchant_payable,900.24,credit,2026-08-02,posted,
led_demo_0007,pay_demo_0007,setl_demo_0007,acc_demo_008,merchant_payable,1034.01,credit,2026-08-02,posted,
led_demo_0008,pay_demo_0008,setl_demo_0008,acc_demo_009,merchant_payable,1167.77,credit,2026-08-02,posted,
led_demo_0009,pay_demo_0009,setl_demo_0009,acc_demo_010,merchant_payable,1301.54,credit,2026-08-02,posted,
led_demo_0010,pay_demo_0010,setl_demo_0010,acc_demo_011,merchant_payable,1435.31,credit,2026-08-02,posted,
led_demo_0011,pay_demo_0011,setl_demo_0011,acc_demo_012,merchant_payable,1569.07,credit,2026-08-02,posted,
led_demo_0012,pay_demo_0012,setl_demo_0012,acc_demo_013,merchant_payable,1702.84,credit,2026-08-02,posted,
led_demo_0013,pay_demo_0013,setl_demo_0013,acc_demo_014,merchant_payable,1836.61,credit,2026-08-03,posted,
led_demo_0014,pay_demo_0014,setl_demo_0014,acc_demo_015,merchant_payable,1970.38,credit,2026-08-03,posted,
led_demo_0015,pay_demo_0015,setl_demo_0015,acc_demo_016,merchant_payable,2104.14,credit,2026-08-03,posted,
led_demo_0016,pay_demo_0016,setl_demo_0016,acc_demo_017,merchant_payable,2237.91,credit,2026-08-03,posted,
led_demo_0017,pay_demo_0017,setl_demo_0017,acc_demo_018,merchant_payable,2371.68,credit,2026-08-03,posted,
led_demo_0018,pay_demo_0018,setl_demo_0018,acc_demo_019,merchant_payable,2505.44,credit,2026-08-03,posted,
led_demo_0019,pay_demo_0019,setl_demo_0019,acc_demo_020,merchant_payable,2639.21,credit,2026-08-03,posted,
led_demo_0020,pay_demo_0020,setl_demo_0020,acc_demo_021,merchant_payable,2772.98,credit,2026-08-03,pending_clearance,
led_demo_0021,pay_demo_0021,setl_demo_0021,acc_demo_022,merchant_payable,2906.74,credit,2026-08-04,posted,
led_demo_0022,pay_demo_0022,setl_demo_0022,acc_demo_023,merchant_payable,3040.51,credit,2026-08-04,posted,
led_demo_0023,pay_demo_0023,setl_demo_0023,acc_demo_024,merchant_payable,3174.28,credit,2026-08-04,posted,
led_demo_0024,pay_demo_0024,setl_demo_0024,acc_demo_025,merchant_payable,3308.04,credit,2026-08-04,posted,
led_demo_0025,pay_demo_0025,setl_demo_0025,acc_demo_001,merchant_payable,3441.81,credit,2026-08-04,posted,
led_demo_0026,pay_demo_0026,setl_demo_0026,acc_demo_002,merchant_payable,3575.58,credit,2026-08-04,posted,
led_demo_0027,pay_demo_0027,setl_demo_0027,acc_demo_003,merchant_payable,3709.34,credit,2026-08-04,posted,
led_demo_0028,pay_demo_0028,setl_demo_0028,acc_demo_004,merchant_payable,3843.11,credit,2026-08-04,posted,
led_demo_0029,pay_demo_0029,setl_demo_0029,acc_demo_005,merchant_payable,3976.88,credit,2026-08-05,posted,
led_demo_0030,pay_demo_0030,setl_demo_0030,acc_demo_006,merchant_payable,4110.64,credit,2026-08-05,posted,
led_demo_0031,pay_demo_0031,setl_demo_0031,acc_demo_007,merchant_payable,4244.41,credit,2026-08-05,posted,
led_demo_0032,pay_demo_0032,setl_demo_0032,acc_demo_008,merchant_payable,4378.18,credit,2026-08-05,posted,
led_demo_0033,pay_demo_0033,setl_demo_0033,acc_demo_009,merchant_payable,4511.94,credit,2026-08-05,posted,
led_demo_0034,pay_demo_0034,setl_demo_0034,acc_demo_010,merchant_payable,4645.71,credit,2026-08-05,posted,
led_demo_0035,pay_demo_0035,setl_demo_0035,acc_demo_011,merchant_payable,4779.48,credit,2026-08-05,posted,
led_demo_0036,pay_demo_0036,setl_demo_0036,acc_demo_012,merchant_payable,4913.24,credit,2026-08-05,posted,
led_demo_0037,pay_demo_0037,setl_demo_0037,acc_demo_013,merchant_payable,5047.01,credit,2026-08-06,posted,
led_demo_0038,pay_demo_0038,setl_demo_0038,acc_demo_014,merchant_payable,5180.78,credit,2026-08-06,posted,
led_demo_0039,pay_demo_0039,setl_demo_0039,acc_demo_015,merchant_payable,5314.55,credit,2026-08-06,posted,
led_demo_0040,pay_demo_0040,setl_demo_0040,acc_demo_016,merchant_payable,5448.31,credit,2026-08-06,pending_clearance,
led_demo_0041,pay_demo_0041,setl_demo_0041,acc_demo_017,merchant_payable,5582.08,credit,2026-08-06,posted,
led_demo_0042,pay_demo_0042,setl_demo_0042,acc_demo_018,merchant_payable,5715.85,credit,2026-08-06,posted,
