transaction_id,bank_reference_id,settlement_batch_id,amount,currency,received_at,processed_at,bank_status,bank_response_code,bank_response_message,settlement_date
TXN1001,BNK-201001,BATCH-301,250.00,USD,2026-08-20T09:05:00Z,2026-08-20T09:30:00Z,SETTLED,00,Approved,2026-08-20
TXN1002,BNK-201002,BATCH-302,1500.75,INR,2026-08-20T16:35:00Z,2026-08-21T08:00:00Z,SETTLED,00,Approved - delayed batch,2026-08-21
TXN1004,BNK-201004,BATCH-303,890.50,EUR,2026-08-21T11:20:00Z,2026-08-21T11:45:00Z,REJECTED,14,Bank account frozen,
TXN1006,BNK-201006,BATCH-305,1200.00,USD,2026-08-22T14:25:00Z,2026-08-22T15:00:00Z,SETTLED,00,Approved,2026-08-22
TXN1007,BNK-201007,BATCH-306,585.00,INR,2026-08-23T09:35:00Z,2026-08-23T10:00:00Z,SETTLED,00,Approved,2026-08-23
TXN1008,BNK-201008,BATCH-307,350.00,EUR,2026-08-23T12:05:00Z,2026-08-23T12:30:00Z,SETTLED,00,Approved,2026-08-23
TXN1009,BNK-201009,BATCH-308,780.00,EUR,2026-08-23T15:50:00Z,2026-08-23T16:15:00Z,SETTLED,00,Approved,2026-08-23
TXN1010,BNK-201010,BATCH-309,425.00,USD,2026-08-24T06:30:00Z,2026-08-24T07:20:00Z,SETTLED,00,Approved,2026-08-24
TXN1011,BNK-201011,BATCH-310,2100.00,INR,2026-08-24T10:35:00Z,2026-08-24T18:00:00Z,PENDING,05,Settlement in progress,
TXN1012,BNK-201012,BATCH-311,150.00,EUR,2026-08-24T13:05:00Z,2026-08-24T13:30:00Z,SETTLED,00,Approved,2026-08-24
TXN1013,BNK-201013,BATCH-312,950.00,USD,2026-08-24T16:05:00Z,2026-08-24T16:30:00Z,XYZSTATUS,99,Unknown processing state,
TXN1015,BNK-201015,BATCH-314,1750.00,EUR,2026-08-25T09:20:00Z,2026-08-25T10:00:00Z,SETTLED,00,Approved after retry,2026-08-25
TXN1016,BNK-201016,BATCH-315,680.00,USD,2026-08-25T11:05:00Z,,RECEIVED,01,Awaiting processing,
TXN1017,BNK-201017,BATCH-316,300.00,INR,2026-08-25T14:30:00Z,2026-08-26T09:00:00Z,SETTLED,00,Approved - delayed processing,2026-08-26
TXN1018,BNK-201018,BATCH-317,1100.00,EUR,2026-08-26T09:05:00Z,2026-08-26T09:30:00Z,SETTLED,00,Approved,2026-08-26
TXN1019,BNK-201019,BATCH-318,450.00,USD,2026-08-25T10:05:00Z,2026-08-25T10:30:00Z,SETTLED,00,Approved,2026-08-25
TXN1020,BNK-201020,BATCH-319,275.00,INR,2026-08-25T10:35:00Z,,REJECTED,14,Authorization failed at gateway,
TXN1021,BNK-201021,BATCH-320,1872.50,USD,2026-08-01T08:39:35.730Z,2026-08-01T09:00:23.730Z,SETTLED,00,Approved,2026-08-01
TXN1022,BNK-201022,BATCH-320,1803.75,EUR,2026-08-01T14:56:58.597Z,2026-08-01T15:21:58.597Z,SETTLED,00,Approved,2026-08-01
TXN1023,BNK-201023,BATCH-320,1596.75,INR,2026-08-01T12:22:06.193Z,2026-08-01T12:46:47.193Z,SETTLED,00,Approved,2026-08-01
TXN1024,BNK-201024,BATCH-320,1844.25,USD,2026-08-01T13:54:06.715Z,2026-08-01T14:27:41.715Z,SETTLED,00,Approved,2026-08-01
TXN1025,BNK-201025,BATCH-320,842.75,EUR,2026-08-01T17:30:19.854Z,2026-08-01T18:05:00.854Z,SETTLED,00,Approved,2026-08-01
TXN1026,BNK-201026,BATCH-320,1590.00,INR,2026-08-01T13:50:57.143Z,2026-08-01T14:22:40.143Z,SETTLED,00,Approved,2026-08-01
TXN1027,BNK-201027,BATCH-320,2288.50,USD,2026-08-01T16:15:04.902Z,2026-08-01T16:43:31.902Z,SETTLED,00,Approved,2026-08-01
TXN1028,BNK-201028,BATCH-320,1136.50,EUR,2026-08-01T15:31:06.732Z,2026-08-01T15:59:42.732Z,SETTLED,00,Approved,2026-08-01
TXN1029,BNK-201029,BATCH-320,1134.25,INR,2026-08-01T14:46:00.406Z,2026-08-01T15:06:57.406Z,SETTLED,00,Approved,2026-08-01
TXN1030,BNK-201030,BATCH-320,481.00,USD,2026-08-01T10:03:20.264Z,2026-08-01T10:27:34.264Z,SETTLED,00,Approved,2026-08-01
TXN1031,BNK-201031,BATCH-321,2179.00,EUR,2026-08-01T09:27:57.501Z,2026-08-01T09:55:10.501Z,SETTLED,00,Approved,2026-08-01
TXN1032,BNK-201032,BATCH-321,2027.25,INR,2026-08-01T17:58:37.921Z,2026-08-01T18:32:14.921Z,SETTLED,00,Approved,2026-08-01
TXN1034,BNK-201034,BATCH-321,1762.50,EUR,2026-08-01T17:48:40.180Z,2026-08-01T18:16:52.180Z,SETTLED,00,Approved,2026-08-01
TXN1035,BNK-201035,BATCH-321,271.00,INR,2026-08-01T12:07:14.788Z,2026-08-01T12:36:48.788Z,SETTLED,00,Approved,2026-08-01
TXN1036,BNK-201036,BATCH-321,530.75,USD,2026-08-01T10:28:15.614Z,,PENDING,05,Settlement in progress,
TXN1037,BNK-201037,BATCH-321,2208.50,EUR,2026-08-01T14:52:08.739Z,2026-08-01T15:23:18.739Z,SETTLED,00,Approved,2026-08-01
TXN1038,BNK-201038,BATCH-321,584.50,INR,2026-08-01T09:10:36.886Z,2026-08-03T09:10:36.886Z,SETTLED,00,Approved - delayed settlement batch,2026-08-03
TXN1039,BNK-201039,BATCH-321,406.25,USD,2026-08-01T12:39:22.354Z,2026-08-01T13:07:06.354Z,SETTLED,00,Approved,2026-08-01
TXN1040,BNK-201040,BATCH-321,2298.75,EUR,2026-08-01T10:48:28.766Z,2026-08-01T11:18:43.766Z,SETTLED,00,Approved,2026-08-01
TXN1041,BNK-201041,BATCH-322,541.00,INR,2026-08-01T15:59:09.991Z,2026-08-01T16:24:07.991Z,SETTLED,00,Approved,2026-08-01
TXN1042,BNK-201042,BATCH-322,533.25,USD,2026-08-01T09:15:06.857Z,2026-08-01T09:45:43.857Z,SETTLED,00,Approved,2026-08-01
TXN1043,BNK-201043,BATCH-322,475.50,EUR,2026-08-01T10:27:09.936Z,2026-08-01T10:48:06.936Z,SETTLED,00,Approved,2026-08-01
TXN1044,BNK-201044,BATCH-322,968.50,INR,2026-08-01T15:29:25.099Z,2026-08-01T15:59:08.099Z,SETTLED,00,Approved,2026-08-01
