transaction_id,gateway_payment_id,merchant_id,amount,currency,created_at,authorized_at,captured_at,gateway_status,payment_method,failure_code,failure_message
TXN1001,GP-101001,MERCH-501,250.00,USD,2026-08-20T09:00:00Z,2026-08-20T09:00:15Z,2026-08-20T09:00:45Z,CAPTURED,credit_card,,
TXN1002,GP-101002,MERCH-502,1500.75,INR,2026-08-20T16:30:00Z,2026-08-20T16:30:20Z,2026-08-20T16:31:00Z,CAPTURED,credit_card,,
TXN1003,GP-101003,MERCH-503,320.00,EUR,2026-08-21T10:00:00Z,,,AUTHORIZATION_FAILED,debit_card,AUTH_DECLINED,Card issuer declined the transaction
TXN1004,GP-101004,MERCH-504,890.50,EUR,2026-08-21T11:15:00Z,2026-08-21T11:15:10Z,2026-08-21T11:15:30Z,CAPTURED,bank_transfer,,
TXN1005,GP-101005,MERCH-505,475.00,INR,2026-08-22T08:00:00Z,2026-08-22T08:00:12Z,2026-08-22T08:00:35Z,CAPTURED,credit_card,,
TXN1006,GP-101006,MERCH-506,1200.00,USD,2026-08-22T14:20:00Z,2026-08-22T14:20:18Z,2026-08-22T14:20:50Z,CAPTURED,credit_card,,
TXN1007,GP-101007,MERCH-507,600.00,INR,2026-08-23T09:30:00Z,2026-08-23T09:30:10Z,2026-08-23T09:30:40Z,CAPTURED,debit_card,,
TXN1008,GP-101008,MERCH-508,350.00,USD,2026-08-23T12:00:00Z,2026-08-23T12:00:08Z,2026-08-23T12:00:25Z,CAPTURED,credit_card,,
TXN1009,GP-101009,MERCH-509,780.00,EUR,2026-08-23T15:45:00Z,2026-08-23T15:45:12Z,2026-08-23T15:45:40Z,CAPTURED,credit_card,,
TXN1010,GP-101010,MERCH-510,425.00,USD,2026-08-24T07:00:00Z,2026-08-24T07:00:09Z,2026-08-24T07:00:30Z,CAPTURED,bank_transfer,,
TXN1011,GP-101011,MERCH-511,2100.00,INR,2026-08-24T10:30:00Z,2026-08-24T10:30:15Z,2026-08-24T10:31:00Z,CAPTURED,credit_card,,
TXN1012,GP-101012,MERCH-512,150.00,EUR,2026-08-24T13:00:00Z,2026-08-24T13:00:05Z,2026-08-24T13:00:20Z,CAPTURED,debit_card,,
TXN1013,GP-101013,MERCH-513,950.00,USD,2026-08-24T16:00:00Z,2026-08-24T16:00:11Z,2026-08-24T16:00:35Z,CAPTURED,credit_card,,
TXN1014,GP-101014,MERCH-514,500.00,INR,2026-08-25T08:00:00Z,2026-08-25T08:00:10Z,2026-08-25T08:00:30Z,CAPTURED,credit_card,,
TXN1015,GP-101015,MERCH-515,1750.00,EUR,2026-08-25T09:15:00Z,2026-08-25T09:15:08Z,2026-08-25T09:15:25Z,CAPTURED,bank_transfer,,
TXN1016,GP-101016,MERCH-516,680.00,USD,2026-08-25T11:00:00Z,2026-08-25T11:00:14Z,2026-08-25T11:00:40Z,CAPTURED,credit_card,,
TXN1017,GP-101017,MERCH-517,300.00,INR,2026-08-25T14:00:00Z,2026-08-25T14:00:20Z,2026-08-25T14:01:00Z,CAPTURED,debit_card,,
TXN1018,GP-101018,MERCH-518,1100.00,EUR,2026-08-26T09:00:00Z,2026-08-26T09:00:12Z,2026-08-26T09:00:45Z,CAPTURED,credit_card,,
TXN1019,GP-101019,MERCH-519,450.00,USD,2026-08-25T10:00:00Z,2026-08-25T10:00:07Z,2026-08-25T10:00:25Z,CAPTURED,credit_card,,
TXN1020,GP-101020,MERCH-520,275.00,INR,2026-08-25T10:30:00Z,2026-08-25T10:30:09Z,,AUTHORIZATION_FAILED,debit_card,INSUFFICIENT_FUNDS,Insufficient funds in account
TXN1021,GP-101021,MERCH-522,1872.50,USD,2026-08-01T08:30:45.730Z,2026-08-01T08:31:03.730Z,2026-08-01T08:31:37.730Z,CAPTURED,google_pay,,
TXN1022,GP-101022,MERCH-523,1803.75,EUR,2026-08-01T14:46:11.597Z,2026-08-01T14:46:27.597Z,2026-08-01T14:46:58.597Z,CAPTURED,debit_card,,
TXN1023,GP-101023,MERCH-524,1596.75,INR,2026-08-01T12:14:21.193Z,2026-08-01T12:14:39.193Z,2026-08-01T12:14:54.193Z,CAPTURED,credit_card,,
TXN1024,GP-101024,MERCH-525,1844.25,USD,2026-08-01T13:48:04.715Z,2026-08-01T13:48:19.715Z,2026-08-01T13:48:30.715Z,CAPTURED,bank_transfer,,
TXN1025,GP-101025,MERCH-526,842.75,EUR,2026-08-01T17:24:27.854Z,2026-08-01T17:24:34.854Z,2026-08-01T17:25:10.854Z,CAPTURED,credit_card,,
TXN1026,GP-101026,MERCH-527,1590.00,INR,2026-08-01T13:43:00.143Z,2026-08-01T13:43:14.143Z,2026-08-01T13:43:52.143Z,CAPTURED,debit_card,,
TXN1027,GP-101027,MERCH-528,2288.50,USD,2026-08-01T16:06:50.902Z,2026-08-01T16:07:00.902Z,2026-08-01T16:07:24.902Z,CAPTURED,credit_card,,
