transaction_id,ledger_entry_id,account_id,debit_amount,credit_amount,currency,ledger_created_at,ledger_status,reconciliation_status,ledger_description
TXN1001,LED-401001,ACC-601,250.00,0.00,USD,2026-08-20T09:35:00Z,POSTED,RECONCILED,Payment settlement for order ORD-7001
TXN1002,LED-401002,ACC-602,1500.75,0.00,INR,2026-08-21T08:30:00Z,POSTED,RECONCILED,Payment settlement for order ORD-7002 - delayed batch
TXN1004,LED-401004,ACC-604,890.50,0.00,EUR,2026-08-21T12:00:00Z,POSTED,UNRECONCILED,Payment attempted but bank rejected
TXN1005,LED-401005,ACC-605,475.00,0.00,INR,2026-08-22T08:30:00Z,POSTED,UNRECONCILED,Payment settlement awaiting bank confirmation
TXN1007,LED-401007,ACC-607,600.00,0.00,INR,2026-08-23T10:30:00Z,POSTED,RECONCILED,Payment settlement for order ORD-7007
TXN1008,LED-401008,ACC-608,350.00,0.00,USD,2026-08-23T12:45:00Z,POSTED,RECONCILED,Payment settlement for order ORD-7008
TXN1009,LED-401009A,ACC-609,780.00,0.00,EUR,2026-08-23T16:30:00Z,POSTED,RECONCILED,Payment settlement for order ORD-7009
TXN1009,LED-401009B,ACC-609,780.00,0.00,EUR,2026-08-23T16:35:00Z,POSTED,RECONCILED,Duplicate - Payment settlement for order ORD-7009
TXN1010,LED-401010,ACC-610,425.00,0.00,USD,2026-08-24T06:00:00Z,POSTED,RECONCILED,Payment settlement for order ORD-7010
TXN1011,LED-401011,ACC-611,2100.00,0.00,INR,2026-08-24T11:00:00Z,PENDING,UNRECONCILED,Payment settlement pending bank completion
TXN1012,LED-401012,ACC-612,150.00,0.00,EUR,2026-08-24T13:35:00Z,POSTED,RECONCILED,Payment settlement for order ORD-7012
TXN1013,LED-401013,ACC-613,950.00,0.00,USD,2026-08-24T16:45:00Z,POSTED,UNRECONCILED,Payment settlement - status unclear
TXN1015,LED-401015,ACC-615,1750.00,0.00,EUR,2026-08-25T10:15:00Z,POSTED,RECONCILED,Payment settlement for order ORD-7015
TXN1017,LED-401017,ACC-617,300.00,0.00,INR,2026-08-26T09:30:00Z,POSTED,RECONCILED,Payment settlement for order ORD-7017 - delayed
TXN1018,LED-401018,ACC-618,1050.00,0.00,EUR,2026-08-26T09:45:00Z,POSTED,MISMATCHED,Payment settlement for order ORD-7018 - amount discrepancy
TXN1019,LED-401019,ACC-619,450.00,0.00,USD,2026-08-25T10:40:00Z,POSTED,RECONCILED,Payment settlement for order ORD-7019
TXN1021,LED-401021,ACC-622,1872.50,0.00,USD,2026-08-01T09:08:53.730Z,POSTED,RECONCILED,Payment settlement for order ORD-7021
TXN1023,LED-401023,ACC-624,1596.75,0.00,INR,2026-08-01T12:54:15.193Z,POSTED,RECONCILED,Payment settlement for order ORD-7023
TXN1024,LED-401024,ACC-625,1844.25,0.00,USD,2026-08-01T14:35:03.715Z,POSTED,RECONCILED,Payment settlement for order ORD-7024
TXN1025,LED-401025,ACC-626,842.75,0.00,EUR,2026-08-01T18:10:55.854Z,POSTED,RECONCILED,Payment settlement for order ORD-7025
TXN1026,LED-401026,ACC-627,1590.00,0.00,INR,2026-08-01T14:32:02.143Z,POSTED,RECONCILED,Payment settlement for order ORD-7026
TXN1027,LED-401027,ACC-628,2288.50,0.00,USD,2026-08-01T16:52:28.902Z,POSTED,RECONCILED,Payment settlement for order ORD-7027
TXN1028,LED-401028,ACC-629,1136.50,0.00,EUR,2026-08-01T16:05:38.732Z,POSTED,RECONCILED,Payment settlement for order ORD-7028
TXN1029,LED-401029,ACC-630,1134.25,0.00,INR,2026-08-01T15:13:31.406Z,POSTED,RECONCILED,Payment settlement for order ORD-7029
TXN1030,LED-401030,ACC-631,481.00,0.00,USD,2026-08-01T10:34:40.264Z,POSTED,RECONCILED,Payment settlement for order ORD-7030
TXN1031,LED-401031,ACC-632,2179.00,0.00,EUR,2026-08-01T10:03:56.501Z,POSTED,RECONCILED,Payment settlement for order ORD-7031
TXN1032,LED-401032,ACC-633,2027.25,0.00,INR,2026-08-01T18:40:05.921Z,POSTED,RECONCILED,Payment settlement for order ORD-7032
TXN1034,LED-401034,ACC-635,1762.50,0.00,EUR,2026-08-01T18:25:43.180Z,POSTED,RECONCILED,Payment settlement for order ORD-7034
TXN1035,LED-401035,ACC-636,271.00,0.00,INR,2026-08-01T12:45:24.788Z,POSTED,RECONCILED,Payment settlement for order ORD-7035
TXN1036,LED-401036,ACC-637,530.75,0.00,USD,2026-08-01T10:43:15.614Z,PENDING,UNRECONCILED,Payment settlement pending bank completion
TXN1037,LED-401037,ACC-638,2208.50,0.00,EUR,2026-08-01T15:31:49.739Z,POSTED,RECONCILED,Payment settlement for order ORD-7037
TXN1038,LED-401038,ACC-639,584.50,0.00,INR,2026-08-03T09:20:36.886Z,POSTED,RECONCILED,Payment settlement for order ORD-7038 - delayed batch
TXN1039,LED-401039,ACC-640,406.25,0.00,USD,2026-08-01T13:16:13.354Z,POSTED,RECONCILED,Payment settlement for order ORD-7039
TXN1040,LED-401040,ACC-641,2298.75,0.00,EUR,2026-08-01T11:25:03.766Z,POSTED,RECONCILED,Payment settlement for order ORD-7040
TXN1041,LED-401041,ACC-642,541.00,0.00,INR,2026-08-01T16:31:19.991Z,POSTED,RECONCILED,Payment settlement for order ORD-7041
TXN1042,LED-401042,ACC-643,533.25,0.00,USD,2026-08-01T09:53:40.857Z,POSTED,RECONCILED,Payment settlement for order ORD-7042
TXN1043,LED-401043,ACC-644,475.50,0.00,EUR,2026-08-01T10:57:57.936Z,POSTED,RECONCILED,Payment settlement for order ORD-7043
TXN1044,LED-401044,ACC-645,968.50,0.00,INR,2026-08-01T16:08:18.099Z,POSTED,RECONCILED,Payment settlement for order ORD-7044
TXN1045,LED-401045,ACC-646,210.25,0.00,USD,2026-08-01T17:12:53.697Z,POSTED,RECONCILED,Payment settlement for order ORD-7045
TXN1046,LED-401046,ACC-647,1202.75,0.00,EUR,2026-08-01T10:28:35.435Z,POSTED,RECONCILED,Payment settlement for order ORD-7046
TXN1047,LED-401047,ACC-648,2145.75,0.00,INR,2026-08-01T10:43:31.686Z,POSTED,RECONCILED,Payment settlement for order ORD-7047
TXN1048,LED-401048,ACC-649,1237.00,0.00,USD,2026-08-01T10:14:21.916Z,POSTED,RECONCILED,Payment settlement for order ORD-7048
TXN1049,LED-401049,ACC-650,1479.00,0.00,EUR,2026-08-01T12:29:09.518Z,POSTED,RECONCILED,Payment settlement for order ORD-7049
TXN1050,LED-401050,ACC-601,1072.00,0.00,INR,2026-08-01T15:39:41.529Z,POSTED,RECONCILED,Payment settlement for order ORD-7050
TXN1051,LED-401051,ACC-602,614.50,0.00,USD,2026-08-02T16:00:07.505Z,POSTED,RECONCILED,Payment settlement for order ORD-7051
TXN1052,LED-401052,ACC-603,706.25,0.00,EUR,2026-08-02T16:20:56.841Z,POSTED,RECONCILED,Payment settlement for order ORD-7052
TXN1053,LED-401053,ACC-604,1949.75,0.00,INR,2026-08-02T17:24:23.200Z,POSTED,RECONCILED,Payment settlement for order ORD-7053
TXN1054,LED-401054,ACC-605,141.00,0.00,USD,2026-08-02T15:06:06.915Z,POSTED,RECONCILED,Payment settlement for order ORD-7054
TXN1055,LED-401055,ACC-606,683.75,0.00,EUR,2026-08-04T09:01:08.644Z,POSTED,RECONCILED,Payment settlement for order ORD-7055 - delayed batch
TXN1056,LED-401056,ACC-607,750.75,0.00,INR,2026-08-02T09:48:05.303Z,POSTED,RECONCILED,Payment settlement for order ORD-7056
TXN1057,LED-401057,ACC-608,1209.50,0.00,USD,2026-08-02T16:35:12.607Z,POSTED,RECONCILED,Payment settlement for order ORD-7057
TXN1058,LED-401058,ACC-609,1618.50,0.00,EUR,2026-08-02T17:29:08.080Z,POSTED,UNRECONCILED,Payment settlement awaiting bank confirmation
TXN1059,LED-401059,ACC-610,796.75,0.00,INR,2026-08-02T09:14:04.089Z,POSTED,RECONCILED,Payment settlement for order ORD-7059
TXN1060,LED-401060,ACC-611,1122.75,0.00,USD,2026-08-02T11:27:17.660Z,POSTED,RECONCILED,Payment settlement for order ORD-7060
TXN1061,LED-401061,ACC-612,1398.00,0.00,EUR,2026-08-02T17:23:49.565Z,POSTED,RECONCILED,Payment settlement for order ORD-7061
TXN1062,LED-401062,ACC-613,2223.75,0.00,INR,2026-08-02T11:52:59.531Z,POSTED,RECONCILED,Payment settlement for order ORD-7062
TXN1063,LED-401063,ACC-614,1799.25,0.00,USD,2026-08-02T12:48:51.105Z,POSTED,RECONCILED,Payment settlement for order ORD-7063
TXN1064,LED-401064,ACC-615,725.75,0.00,EUR,2026-08-02T14:34:46.599Z,POSTED,RECONCILED,Payment settlement for order ORD-7064
TXN1065,LED-401065,ACC-616,2000.25,0.00,INR,2026-08-02T12:00:01.312Z,POSTED,RECONCILED,Payment settlement for order ORD-7065
TXN1066,LED-401066,ACC-617,1426.50,0.00,USD,2026-08-02T16:48:18.011Z,POSTED,RECONCILED,Payment settlement for order ORD-7066
TXN1068,LED-401068,ACC-619,891.00,0.00,INR,2026-08-04T16:06:24.723Z,POSTED,RECONCILED,Payment settlement for order ORD-7068 - delayed batch
TXN1069,LED-401069,ACC-620,558.00,0.00,USD,2026-08-02T09:26:15.314Z,POSTED,RECONCILED,Payment settlement for order ORD-7069
TXN1070,LED-401070,ACC-621,1617.00,0.00,EUR,2026-08-02T09:22:25.474Z,POSTED,RECONCILED,Payment settlement for order ORD-7070
TXN1071,LED-401071,ACC-622,226.00,0.00,INR,2026-08-02T13:39:11.053Z,POSTED,RECONCILED,Payment settlement for order ORD-7071
TXN1072,LED-401072,ACC-623,1785.75,0.00,USD,2026-08-02T17:47:56.522Z,POSTED,RECONCILED,Payment settlement for order ORD-7072
TXN1073,LED-401073,ACC-624,2094.25,0.00,EUR,2026-08-02T13:32:37.801Z,POSTED,RECONCILED,Payment settlement for order ORD-7073
TXN1074,LED-401074,ACC-625,1753.75,0.00,INR,2026-08-02T09:07:45.594Z,POSTED,RECONCILED,Payment settlement for order ORD-7074
TXN1075,LED-401075,ACC-626,1362.25,0.00,USD,2026-08-02T16:37:20.448Z,POSTED,RECONCILED,Payment settlement for order ORD-7075
TXN1076,LED-401076,ACC-627,1521.50,0.00,EUR,2026-08-02T13:31:17.402Z,POSTED,RECONCILED,Payment settlement for order ORD-7076
TXN1077,LED-401077,ACC-628,430.25,0.00,INR,2026-08-02T12:22:57.206Z,POSTED,RECONCILED,Payment settlement for order ORD-7077
TXN1079,LED-401079,ACC-630,1843.25,0.00,EUR,2026-08-02T18:17:10.606Z,POSTED,RECONCILED,Payment settlement for order ORD-7079
TXN1080,LED-401080,ACC-631,2147.00,0.00,INR,2026-08-02T13:40:01.617Z,POSTED,RECONCILED,Payment settlement for order ORD-7080
TXN1081,LED-401081,ACC-632,2400.25,0.00,USD,2026-08-03T10:06:32.538Z,POSTED,RECONCILED,Payment settlement for order ORD-7081
TXN1082,LED-401082,ACC-633,804.75,0.00,EUR,2026-08-05T17:04:29.521Z,POSTED,RECONCILED,Payment settlement for order ORD-7082 - delayed batch
TXN1084,LED-401084,ACC-635,1723.00,0.00,USD,2026-08-05T12:54:39.758Z,POSTED,RECONCILED,Payment settlement for order ORD-7084 - delayed batch
TXN1085,LED-401085,ACC-636,1427.25,0.00,EUR,2026-08-03T13:31:57.470Z,POSTED,RECONCILED,Payment settlement for order ORD-7085
TXN1086,LED-401086,ACC-637,342.75,0.00,INR,2026-08-03T08:50:11.284Z,POSTED,RECONCILED,Payment settlement for order ORD-7086
TXN1087,LED-401087,ACC-638,406.75,0.00,USD,2026-08-03T12:40:20.330Z,POSTED,RECONCILED,Payment settlement for order ORD-7087
TXN1088,LED-401088,ACC-639,2221.75,0.00,EUR,2026-08-03T17:38:52.910Z,POSTED,UNRECONCILED,Payment settlement awaiting bank confirmation
TXN1089,LED-401089,ACC-640,2269.00,0.00,INR,2026-08-03T12:59:54.080Z,POSTED,RECONCILED,Payment settlement for order ORD-7089
TXN1090,LED-401090,ACC-641,1400.25,0.00,USD,2026-08-03T14:42:16.031Z,POSTED,RECONCILED,Payment settlement for order ORD-7090
TXN1091,LED-401091,ACC-642,2282.25,0.00,EUR,2026-08-03T14:29:50.040Z,POSTED,RECONCILED,Payment settlement for order ORD-7091
TXN1092,LED-401092,ACC-643,713.50,0.00,INR,2026-08-03T14:56:21.178Z,PENDING,UNRECONCILED,Payment settlement pending bank completion
TXN1093,LED-401093,ACC-644,706.50,0.00,USD,2026-08-03T11:40:47.825Z,POSTED,RECONCILED,Payment settlement for order ORD-7093
TXN1094,LED-401094,ACC-645,654.50,0.00,EUR,2026-08-03T09:07:45.207Z,POSTED,RECONCILED,Payment settlement for order ORD-7094
TXN1095,LED-401095,ACC-646,552.50,0.00,INR,2026-08-03T09:00:55.007Z,POSTED,RECONCILED,Payment settlement for order ORD-7095
TXN1096,LED-401096,ACC-647,999.25,0.00,USD,2026-08-03T09:32:51.925Z,POSTED,RECONCILED,Payment settlement for order ORD-7096
TXN1097,LED-401097,ACC-648,197.75,0.00,EUR,2026-08-03T13:54:13.324Z,POSTED,RECONCILED,Payment settlement for order ORD-7097
TXN1098,LED-401098,ACC-649,1145.00,0.00,INR,2026-08-03T16:19:14.857Z,POSTED,RECONCILED,Payment settlement for order ORD-7098
TXN1099,LED-401099,ACC-650,2043.75,0.00,USD,2026-08-03T10:31:41.764Z,POSTED,RECONCILED,Payment settlement for order ORD-7099
TXN1100,LED-401100,ACC-601,1091.75,0.00,EUR,2026-08-03T18:14:08.889Z,POSTED,RECONCILED,Payment settlement for order ORD-7100
